,Time frame,Waters,C_up,c_mid
0,0,0,94.57000732421875,94.5150032043457
1,1,0,95.70999908447266,96.03500366210938
2,2,1,99.45000457763672,98.79000473022461
3,3,4,101.47000122070312,97.81500244140625
4,4,2,101.75,98.84000396728516
5,5,0,103.87000274658203,98.08000183105469
6,6,3,101.83999633789062,96.16999816894531
7,7,1,102.52000427246094,97.26000595092773
8,8,0,104.54000854492188,99.21500778198242
9,9,1,105.65000915527344,100.39000701904297
10,10,1,100.73001098632812,96.01500701904297
11,11,0,102.89000701904297,97.89000701904297
12,12,4,102.96000671386719,97.31500625610352
13,13,0,103.5300064086914,97.29000473022461
14,14,1,104.33000183105469,97.58000183105469
15,15,0,102.6300048828125,95.7350082397461
16,16,0,104.07000732421875,97.99000549316406
17,17,2,105.1500015258789,98.10500717163086
18,18,9,106.61000061035156,97.89500045776367
19,19,3,105.3800048828125,98.09500503540039
20,20,5,104.49000549316406,96.13500595092773
21,21,2,105.08000183105469,96.8550033569336
22,22,2,105.3800048828125,97.65500259399414
23,23,0,104.35000610351562,97.11000442504883
24,24,6,105.41000366210938,97.89000701904297
25,25,0,104.02000427246094,97.53000259399414
26,26,0,104.25,97.125
27,27,3,103.06000518798828,96.94500350952148
28,28,3,105.10000610351562,98.04500198364258
29,29,1,105.20000457763672,99.19500350952148
30,30,2,104.6500015258789,97.1150016784668
31,31,0,104.56000518798828,97.08500289916992
32,32,0,104.50000762939453,96.38500595092773
33,33,0,105.76000213623047,97.10000610351562
34,34,0,106.010009765625,97.07000732421875
35,35,5,104.5999984741211,96.80500030517578
36,36,3,104.1300048828125,97.60000610351562
37,37,5,107.97000885009766,100.29500579833984
38,38,3,104.87000274658203,98.74500274658203
39,39,5,102.96000671386719,97.19500732421875
40,40,4,104.82000732421875,97.97500610351562
41,41,0,104.1300048828125,97.88500595092773
42,42,2,104.87000274658203,98.44000244140625
43,43,0,105.1100082397461,98.51500701904297
44,44,2,103.96000671386719,98.68000411987305
45,45,1,99.9800033569336,94.63500595092773
46,46,4,104.40000915527344,97.04500961303711
47,47,1,102.20000457763672,95.61500549316406
48,48,2,105.54000854492188,98.26000595092773
49,49,0,102.89000701904297,96.19000625610352
50,50,0,105.21000671386719,98.43500518798828
51,51,0,107.37000274658203,101.8800048828125
52,52,0,103.26000213623047,97.79500579833984
53,53,1,107.02000427246094,100.10000610351562
54,54,1,105.84000396728516,100.43000411987305
55,55,4,105.63999938964844,99.44500350952148
56,56,1,105.19000244140625,98.20500564575195
57,57,4,106.95999908447266,98.94500350952148
58,58,0,107.93000030517578,99.60000228881836
59,59,2,107.47000885009766,99.3700065612793
60,60,2,107.06000518798828,99.2400016784668
61,61,0,105.70999908447266,97.79000091552734
62,62,0,102.8800048828125,97.28500366210938
63,63,3,105.16999816894531,97.92500305175781
64,64,0,104.00000762939453,98.21000671386719
65,65,2,104.45999908447266,97.80500411987305
66,66,0,106.10000610351562,98.75000381469727
67,67,1,106.88999938964844,98.51000213623047
68,68,2,105.91000366210938,98.46500396728516
69,69,3,107.64000701904297,100.3700065612793
70,70,0,106.24000549316406,98.94500350952148
71,71,3,105.91000366210938,98.32500457763672
72,72,0,106.12000274658203,97.8800048828125
73,73,0,106.41000366210938,99.4000015258789
74,74,4,106.010009765625,99.3950080871582
75,75,3,107.760009765625,100.11500930786133
76,76,1,103.75000762939453,96.51000595092773
77,77,1,104.75,97.52000045776367
78,78,1,103.13999938964844,96.65499877929688
79,79,1,103.08999633789062,97.27000045776367
80,80,0,102.84000396728516,97.7650032043457
81,81,0,104.21000671386719,97.635009765625
82,82,6,104.83000946044922,98.2450065612793
83,83,1,102.3800048828125,95.08000564575195
84,84,0,100.79000854492188,96.15000534057617
85,85,3,103.93000793457031,97.47500610351562
86,86,1,102.14000701904297,96.4050064086914
87,87,2,102.70000457763672,96.7550048828125
88,88,4,104.52000427246094,97.625
89,89,0,100.86000061035156,94.7550048828125
90,90,2,102.92000579833984,97.97000503540039
91,91,2,104.50000762939453,99.02000427246094
92,92,2,104.6500015258789,99.53000259399414
93,93,0,103.20999908447266,99.03000259399414
94,94,0,105.05000305175781,98.81500244140625
95,95,1,103.77999877929688,96.65499877929688
96,96,0,104.30000305175781,99.34000396728516
97,97,6,105.6100082397461,100.26000595092773
98,98,0,104.84000396728516,98.86000442504883
99,99,0,103.62000274658203,97.79000091552734
100,100,0,103.52000427246094,98.0300064086914
101,101,4,101.52000427246094,96.67000198364258
102,102,5,99.62001037597656,97.11000442504883
103,103,3,99.96000671386719,95.10000610351562
104,104,3,98.5,93.65999984741211
105,105,0,97.8800048828125,92.70000457763672
106,106,2,101.55000305175781,95.04000473022461
107,107,2,103.44001007080078,97.35500717163086
108,108,2,103.93000793457031,97.43500900268555
109,109,3,103.22000122070312,96.1150016784668
110,110,2,106.05000305175781,98.59500122070312
111,111,2,103.15000915527344,96.7550048828125
112,112,4,104.27000427246094,96.45500183105469
113,113,3,104.99000549316406,97.11000442504883
114,114,2,103.96000671386719,97.83500671386719
115,115,0,102.80000305175781,96.14500427246094
